Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire,Agents Know Fire
0,0,0,0,0,0,0,0,0,0
279,307,337,328,314,296,324,291,290,291
408,450,456,445,439,458,436,402,445,443
521,556,549,540,536,555,520,532,540,540
589,599,603,587,595,601,583,580,584,586
612,618,618,603,617,617,605,602,618,615
620,620,619,613,620,621,615,616,620,620
620,621,619,615,620,621,619,619,620,620
621,621,621,621,620,621,620,620,621,620
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
621,621,621,621,620,621,620,621,621,621
