social_radius,fire_radius,exit_radius,p_spreading,p_spreading_environment,RunId,Agents Removed,Agents Know Fire,Exit Knowledge Spread,Change Goal
0.46875,11.71875,11.71875,0.721875,0.309375,97.0,99.0,0.0,97.0,
4.84375,11.71875,11.71875,0.721875,0.309375,152.0,152.0,48.0,158.0,
0.46875,13.28125,11.71875,0.721875,0.309375,98.0,116.0,0.0,114.0,
0.46875,11.71875,21.09375,0.721875,0.309375,58.0,59.0,0.0,59.0,
0.46875,11.71875,11.71875,0.515625,0.309375,61.0,63.0,0.0,61.0,
0.46875,11.71875,11.71875,0.721875,0.171875,91.0,91.0,0.0,91.0,
0.46875,13.28125,21.09375,0.515625,0.171875,77.0,78.0,0.0,78.0,
4.84375,11.71875,21.09375,0.515625,0.171875,152.0,152.0,0.0,152.0,
4.84375,13.28125,11.71875,0.515625,0.171875,152.0,152.0,24.0,157.0,
4.84375,13.28125,21.09375,0.721875,0.171875,151.0,152.0,6.0,151.0,
4.84375,13.28125,21.09375,0.515625,0.309375,152.0,152.0,2.0,152.0,
4.84375,13.28125,21.09375,0.515625,0.171875,152.0,152.0,0.0,153.0,
2.96875,24.21875,24.21875,0.171875,0.8593750000000001,151.0,152.0,0.0,151.0,
2.34375,24.21875,24.21875,0.171875,0.8593750000000001,152.0,152.0,0.0,152.0,
2.96875,0.78125,24.21875,0.171875,0.8593750000000001,0.0,0.0,0.0,0.0,
2.96875,24.21875,8.59375,0.171875,0.8593750000000001,152.0,152.0,51.0,167.0,
2.96875,24.21875,24.21875,1.065625,0.8593750000000001,151.0,152.0,0.0,151.0,
2.96875,24.21875,24.21875,0.171875,0.721875,152.0,152.0,0.0,152.0,
2.96875,0.78125,8.59375,1.065625,0.721875,0.0,0.0,0.0,0.0,
2.34375,24.21875,8.59375,1.065625,0.721875,152.0,152.0,52.0,171.0,
2.34375,0.78125,24.21875,1.065625,0.721875,0.0,0.0,0.0,0.0,
2.34375,0.78125,8.59375,0.171875,0.721875,0.0,0.0,0.0,0.0,
2.34375,0.78125,8.59375,1.065625,0.8593750000000001,0.0,0.0,0.0,0.0,
2.34375,0.78125,8.59375,1.065625,0.721875,0.0,0.0,0.0,0.0,
4.21875,5.46875,5.46875,0.9968750000000001,0.5843750000000001,152.0,152.0,81.0,163.0,
1.09375,5.46875,5.46875,0.9968750000000001,0.5843750000000001,17.0,17.0,12.0,19.0,
4.21875,19.53125,5.46875,0.9968750000000001,0.5843750000000001,151.0,152.0,85.0,172.0,
4.21875,5.46875,2.34375,0.9968750000000001,0.5843750000000001,152.0,152.0,91.0,166.0,
4.21875,5.46875,5.46875,0.790625,0.5843750000000001,152.0,152.0,79.0,167.0,
4.21875,5.46875,5.46875,0.9968750000000001,0.9968750000000001,152.0,152.0,99.0,152.0,
4.21875,19.53125,2.34375,0.790625,0.9968750000000001,152.0,152.0,97.0,160.0,
1.09375,5.46875,2.34375,0.790625,0.9968750000000001,14.0,15.0,20.0,20.0,
1.09375,19.53125,5.46875,0.790625,0.9968750000000001,111.0,144.0,68.0,174.0,
1.09375,19.53125,2.34375,0.9968750000000001,0.9968750000000001,116.0,121.0,45.0,139.0,
1.09375,19.53125,2.34375,0.790625,0.5843750000000001,152.0,152.0,46.0,167.0,
1.09375,19.53125,2.34375,0.790625,0.9968750000000001,98.0,99.0,53.0,118.0,
1.71875,17.96875,17.96875,0.446875,0.034375,113.0,113.0,0.0,113.0,
3.59375,17.96875,17.96875,0.446875,0.034375,151.0,152.0,0.0,151.0,
1.71875,7.03125,17.96875,0.446875,0.034375,45.0,46.0,0.0,46.0,
1.71875,17.96875,14.84375,0.446875,0.034375,122.0,122.0,0.0,122.0,
1.71875,17.96875,17.96875,0.24062500000000003,0.034375,112.0,114.0,1.0,113.0,
1.71875,17.96875,17.96875,0.446875,0.446875,149.0,150.0,2.0,149.0,
1.71875,7.03125,14.84375,0.24062500000000003,0.446875,35.0,35.0,0.0,35.0,
3.59375,17.96875,14.84375,0.24062500000000003,0.446875,152.0,152.0,22.0,153.0,
3.59375,7.03125,17.96875,0.24062500000000003,0.446875,90.0,91.0,0.0,90.0,
3.59375,7.03125,14.84375,0.446875,0.446875,33.0,33.0,1.0,33.0,
3.59375,7.03125,14.84375,0.24062500000000003,0.034375,142.0,142.0,0.0,142.0,
3.59375,7.03125,14.84375,0.24062500000000003,0.446875,59.0,60.0,2.0,59.0,
2.34375,2.34375,21.09375,0.309375,0.171875,18.0,18.0,0.0,18.0,
4.21875,2.34375,21.09375,0.309375,0.171875,0.0,0.0,0.0,0.0,
2.34375,22.65625,21.09375,0.309375,0.171875,152.0,152.0,0.0,152.0,
2.34375,2.34375,5.46875,0.309375,0.171875,26.0,26.0,3.0,27.0,
2.34375,2.34375,21.09375,0.6531250000000001,0.171875,24.0,24.0,0.0,24.0,
2.34375,2.34375,21.09375,0.309375,0.5843750000000001,19.0,19.0,0.0,19.0,
2.34375,22.65625,5.46875,0.6531250000000001,0.5843750000000001,152.0,152.0,65.0,177.0,
4.21875,2.34375,5.46875,0.6531250000000001,0.5843750000000001,0.0,0.0,0.0,0.0,
4.21875,22.65625,21.09375,0.6531250000000001,0.5843750000000001,152.0,152.0,3.0,152.0,
4.21875,22.65625,5.46875,0.309375,0.5843750000000001,152.0,152.0,68.0,168.0,
4.21875,22.65625,5.46875,0.6531250000000001,0.171875,149.0,152.0,59.0,171.0,
4.21875,22.65625,5.46875,0.6531250000000001,0.5843750000000001,152.0,152.0,93.0,175.0,
4.84375,14.84375,8.59375,0.8593750000000001,0.721875,151.0,152.0,60.0,157.0,
1.71875,14.84375,8.59375,0.8593750000000001,0.721875,72.0,73.0,17.0,73.0,
4.84375,10.15625,8.59375,0.8593750000000001,0.721875,152.0,152.0,71.0,158.0,
4.84375,14.84375,17.96875,0.8593750000000001,0.721875,152.0,152.0,14.0,152.0,
4.84375,14.84375,8.59375,0.10312500000000001,0.721875,150.0,150.0,59.0,156.0,
4.84375,14.84375,8.59375,0.8593750000000001,0.034375,149.0,152.0,25.0,154.0,
4.84375,10.15625,17.96875,0.10312500000000001,0.034375,118.0,118.0,4.0,118.0,
1.71875,14.84375,17.96875,0.10312500000000001,0.034375,82.0,83.0,0.0,83.0,
1.71875,10.15625,8.59375,0.10312500000000001,0.034375,37.0,42.0,1.0,42.0,
1.71875,10.15625,17.96875,0.8593750000000001,0.034375,57.0,58.0,0.0,57.0,
1.71875,10.15625,17.96875,0.10312500000000001,0.721875,56.0,56.0,0.0,56.0,
1.71875,10.15625,17.96875,0.10312500000000001,0.034375,63.0,64.0,0.0,63.0,
3.59375,8.59375,14.84375,0.034375,0.9968750000000001,76.0,76.0,8.0,77.0,
0.46875,8.59375,14.84375,0.034375,0.9968750000000001,20.0,21.0,0.0,21.0,
3.59375,16.40625,14.84375,0.034375,0.9968750000000001,135.0,135.0,17.0,135.0,
3.59375,8.59375,24.21875,0.034375,0.9968750000000001,88.0,88.0,0.0,88.0,
3.59375,8.59375,14.84375,0.37812500000000004,0.9968750000000001,151.0,151.0,16.0,152.0,
3.59375,8.59375,14.84375,0.034375,0.309375,110.0,110.0,9.0,113.0,
3.59375,16.40625,24.21875,0.37812500000000004,0.309375,141.0,141.0,0.0,141.0,
0.46875,8.59375,24.21875,0.37812500000000004,0.309375,36.0,36.0,0.0,36.0,
0.46875,16.40625,14.84375,0.37812500000000004,0.309375,117.0,118.0,0.0,117.0,
0.46875,16.40625,24.21875,0.034375,0.309375,87.0,88.0,0.0,87.0,
0.46875,16.40625,24.21875,0.37812500000000004,0.9968750000000001,92.0,92.0,0.0,92.0,
0.46875,16.40625,24.21875,0.37812500000000004,0.309375,127.0,128.0,0.0,128.0,
1.09375,21.09375,2.34375,0.5843750000000001,0.446875,150.0,152.0,34.0,165.0,
2.96875,21.09375,2.34375,0.5843750000000001,0.446875,152.0,152.0,68.0,177.0,
1.09375,3.90625,2.34375,0.5843750000000001,0.446875,3.0,5.0,4.0,3.0,
1.09375,21.09375,11.71875,0.5843750000000001,0.446875,130.0,130.0,10.0,132.0,
1.09375,21.09375,2.34375,0.9281250000000001,0.446875,151.0,152.0,42.0,167.0,
1.09375,21.09375,2.34375,0.5843750000000001,0.8593750000000001,148.0,149.0,54.0,171.0,
1.09375,3.90625,11.71875,0.9281250000000001,0.8593750000000001,3.0,6.0,2.0,4.0,
2.96875,21.09375,11.71875,0.9281250000000001,0.8593750000000001,152.0,152.0,31.0,161.0,
2.96875,3.90625,2.34375,0.9281250000000001,0.8593750000000001,91.0,91.0,58.0,97.0,
2.96875,3.90625,11.71875,0.5843750000000001,0.8593750000000001,9.0,10.0,0.0,9.0,
2.96875,3.90625,11.71875,0.9281250000000001,0.446875,34.0,34.0,0.0,34.0,
2.96875,3.90625,11.71875,0.9281250000000001,0.8593750000000001,35.0,35.0,1.0,35.0,
0.78125,3.90625,13.28125,0.9281250000000001,0.9281250000000001,3.0,4.0,0.0,4.0,
3.28125,3.90625,13.28125,0.9281250000000001,0.9281250000000001,122.0,122.0,21.0,124.0,
0.78125,24.21875,13.28125,0.9281250000000001,0.9281250000000001,140.0,140.0,0.0,140.0,
0.78125,3.90625,3.90625,0.9281250000000001,0.9281250000000001,7.0,8.0,0.0,7.0,
0.78125,3.90625,13.28125,0.5843750000000001,0.9281250000000001,9.0,9.0,0.0,9.0,
0.78125,3.90625,13.28125,0.9281250000000001,0.515625,2.0,3.0,0.0,2.0,
0.78125,24.21875,3.90625,0.5843750000000001,0.515625,130.0,146.0,0.0,130.0,
3.28125,3.90625,3.90625,0.5843750000000001,0.515625,152.0,152.0,82.0,168.0,
3.28125,24.21875,13.28125,0.5843750000000001,0.515625,152.0,152.0,25.0,160.0,
3.28125,24.21875,3.90625,0.9281250000000001,0.515625,152.0,152.0,60.0,175.0,
3.28125,24.21875,3.90625,0.5843750000000001,0.9281250000000001,152.0,152.0,83.0,167.0,
3.28125,24.21875,3.90625,0.5843750000000001,0.515625,151.0,152.0,70.0,167.0,
3.28125,16.40625,0.78125,0.37812500000000004,0.37812500000000004,151.0,151.0,75.0,174.0,
0.78125,16.40625,0.78125,0.37812500000000004,0.37812500000000004,108.0,128.0,0.0,108.0,
3.28125,11.71875,0.78125,0.37812500000000004,0.37812500000000004,151.0,151.0,80.0,169.0,
3.28125,16.40625,16.40625,0.37812500000000004,0.37812500000000004,152.0,152.0,11.0,152.0,
3.28125,16.40625,0.78125,0.034375,0.37812500000000004,127.0,127.0,61.0,141.0,
3.28125,16.40625,0.78125,0.37812500000000004,1.065625,152.0,152.0,90.0,163.0,
3.28125,11.71875,16.40625,0.034375,1.065625,95.0,96.0,4.0,95.0,
0.78125,16.40625,16.40625,0.034375,1.065625,97.0,97.0,0.0,97.0,
0.78125,11.71875,0.78125,0.034375,1.065625,57.0,63.0,0.0,57.0,
0.78125,11.71875,16.40625,0.37812500000000004,1.065625,58.0,60.0,0.0,59.0,
0.78125,11.71875,16.40625,0.034375,0.37812500000000004,66.0,66.0,0.0,66.0,
0.78125,11.71875,16.40625,0.034375,1.065625,63.0,63.0,0.0,63.0,
4.53125,10.15625,19.53125,0.6531250000000001,0.10312500000000001,152.0,152.0,0.0,152.0,
2.03125,10.15625,19.53125,0.6531250000000001,0.10312500000000001,64.0,64.0,0.0,64.0,
4.53125,17.96875,19.53125,0.6531250000000001,0.10312500000000001,152.0,152.0,1.0,152.0,
4.53125,10.15625,22.65625,0.6531250000000001,0.10312500000000001,152.0,152.0,1.0,152.0,
4.53125,10.15625,19.53125,0.309375,0.10312500000000001,150.0,151.0,0.0,150.0,
4.53125,10.15625,19.53125,0.6531250000000001,0.790625,152.0,152.0,8.0,152.0,
4.53125,17.96875,22.65625,0.309375,0.790625,152.0,152.0,1.0,152.0,
2.03125,10.15625,22.65625,0.309375,0.790625,117.0,117.0,0.0,117.0,
2.03125,17.96875,19.53125,0.309375,0.790625,111.0,111.0,0.0,111.0,
2.03125,17.96875,22.65625,0.6531250000000001,0.790625,152.0,152.0,0.0,152.0,
2.03125,17.96875,22.65625,0.309375,0.10312500000000001,134.0,134.0,0.0,134.0,
2.03125,17.96875,22.65625,0.309375,0.790625,138.0,139.0,0.0,138.0,
2.03125,22.65625,7.03125,0.10312500000000001,0.6531250000000001,151.0,152.0,47.0,160.0,
4.53125,22.65625,7.03125,0.10312500000000001,0.6531250000000001,152.0,152.0,76.0,169.0,
2.03125,5.46875,7.03125,0.10312500000000001,0.6531250000000001,35.0,35.0,6.0,35.0,
2.03125,22.65625,10.15625,0.10312500000000001,0.6531250000000001,152.0,152.0,25.0,156.0,
2.03125,22.65625,7.03125,0.8593750000000001,0.6531250000000001,148.0,148.0,56.0,164.0,
2.03125,22.65625,7.03125,0.10312500000000001,0.24062500000000003,145.0,145.0,19.0,154.0,
2.03125,5.46875,10.15625,0.8593750000000001,0.24062500000000003,140.0,140.0,23.0,149.0,
4.53125,22.65625,10.15625,0.8593750000000001,0.24062500000000003,152.0,152.0,47.0,166.0,
4.53125,5.46875,7.03125,0.8593750000000001,0.24062500000000003,152.0,152.0,52.0,167.0,
4.53125,5.46875,10.15625,0.10312500000000001,0.24062500000000003,150.0,150.0,42.0,153.0,
4.53125,5.46875,10.15625,0.8593750000000001,0.6531250000000001,151.0,151.0,50.0,154.0,
4.53125,5.46875,10.15625,0.8593750000000001,0.24062500000000003,151.0,152.0,42.0,159.0,
1.40625,7.03125,3.90625,0.24062500000000003,0.790625,41.0,41.0,23.0,44.0,
2.65625,7.03125,3.90625,0.24062500000000003,0.790625,100.0,100.0,43.0,107.0,
1.40625,14.84375,3.90625,0.24062500000000003,0.790625,92.0,92.0,47.0,105.0,
1.40625,7.03125,19.53125,0.24062500000000003,0.790625,23.0,25.0,1.0,25.0,
1.40625,7.03125,3.90625,0.446875,0.790625,31.0,31.0,24.0,38.0,
1.40625,7.03125,3.90625,0.24062500000000003,0.9281250000000001,34.0,34.0,20.0,36.0,
1.40625,14.84375,19.53125,0.446875,0.9281250000000001,76.0,76.0,0.0,76.0,
2.65625,7.03125,19.53125,0.446875,0.9281250000000001,82.0,83.0,1.0,82.0,
2.65625,14.84375,3.90625,0.446875,0.9281250000000001,134.0,135.0,63.0,139.0,
2.65625,14.84375,19.53125,0.24062500000000003,0.9281250000000001,150.0,150.0,0.0,150.0,
2.65625,14.84375,19.53125,0.446875,0.790625,131.0,131.0,2.0,131.0,
2.65625,14.84375,19.53125,0.446875,0.9281250000000001,144.0,144.0,0.0,144.0,
3.90625,19.53125,16.40625,0.790625,0.24062500000000003,152.0,152.0,9.0,155.0,
0.15625,19.53125,16.40625,0.790625,0.24062500000000003,152.0,152.0,0.0,152.0,
3.90625,2.34375,16.40625,0.790625,0.24062500000000003,152.0,152.0,4.0,152.0,
3.90625,19.53125,7.03125,0.790625,0.24062500000000003,151.0,152.0,53.0,170.0,
3.90625,19.53125,16.40625,0.9968750000000001,0.24062500000000003,152.0,152.0,8.0,153.0,
3.90625,19.53125,16.40625,0.790625,0.37812500000000004,152.0,152.0,3.0,153.0,
3.90625,2.34375,7.03125,0.9968750000000001,0.37812500000000004,152.0,152.0,80.0,174.0,
0.15625,19.53125,7.03125,0.9968750000000001,0.37812500000000004,143.0,149.0,0.0,143.0,
0.15625,2.34375,16.40625,0.9968750000000001,0.37812500000000004,1.0,1.0,0.0,1.0,
0.15625,2.34375,7.03125,0.790625,0.37812500000000004,1.0,1.0,0.0,1.0,
0.15625,2.34375,7.03125,0.9968750000000001,0.24062500000000003,1.0,1.0,0.0,1.0,
0.15625,2.34375,7.03125,0.9968750000000001,0.37812500000000004,2.0,2.0,0.0,2.0,
2.65625,0.78125,10.15625,0.515625,0.515625,0.0,0.0,0.0,0.0,
1.40625,0.78125,10.15625,0.515625,0.515625,0.0,0.0,0.0,0.0,
2.65625,21.09375,10.15625,0.515625,0.515625,152.0,152.0,28.0,165.0,
2.65625,0.78125,0.78125,0.515625,0.515625,0.0,0.0,0.0,0.0,
2.65625,0.78125,10.15625,0.721875,0.515625,0.0,0.0,0.0,0.0,
2.65625,0.78125,10.15625,0.515625,0.10312500000000001,0.0,0.0,0.0,0.0,
2.65625,21.09375,0.78125,0.721875,0.10312500000000001,148.0,152.0,30.0,154.0,
1.40625,0.78125,0.78125,0.721875,0.10312500000000001,0.0,0.0,0.0,0.0,
1.40625,21.09375,10.15625,0.721875,0.10312500000000001,143.0,144.0,6.0,149.0,
1.40625,21.09375,0.78125,0.515625,0.10312500000000001,116.0,129.0,20.0,120.0,
1.40625,21.09375,0.78125,0.721875,0.515625,149.0,152.0,45.0,165.0,
1.40625,21.09375,0.78125,0.721875,0.10312500000000001,145.0,151.0,16.0,148.0,
0.15625,13.28125,22.65625,1.065625,1.065625,77.0,78.0,0.0,78.0,
3.90625,13.28125,22.65625,1.065625,1.065625,152.0,152.0,2.0,152.0,
0.15625,8.59375,22.65625,1.065625,1.065625,39.0,39.0,0.0,39.0,
0.15625,13.28125,13.28125,1.065625,1.065625,99.0,100.0,0.0,99.0,
0.15625,13.28125,22.65625,0.171875,1.065625,86.0,89.0,0.0,88.0,
0.15625,13.28125,22.65625,1.065625,0.6531250000000001,83.0,85.0,0.0,84.0,
0.15625,8.59375,13.28125,0.171875,0.6531250000000001,32.0,33.0,0.0,33.0,
3.90625,13.28125,13.28125,0.171875,0.6531250000000001,143.0,143.0,30.0,148.0,
3.90625,8.59375,22.65625,0.171875,0.6531250000000001,101.0,101.0,0.0,101.0,
3.90625,8.59375,13.28125,1.065625,0.6531250000000001,150.0,150.0,24.0,151.0,
3.90625,8.59375,13.28125,0.171875,1.065625,125.0,125.0,20.0,129.0,
3.90625,8.59375,13.28125,0.171875,0.6531250000000001,116.0,116.0,9.0,116.0,
